,PteroSim Aircraft Integration: Required Parameters,,,,,,,,,,,,,
,"Fill in ""Your Value"" column. Leave blank if unknown. (*) = critical. Skip sections marked ""if applicable"".",,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,Parameter,Unit,Your Value,Notes,,,,,,,,,,
1. General,,,,,,,,,,,,x,y,z
1,Aircraft name / designation *,,Team 1,,,,,,,,Origin,0,0,0
2,Aircraft type *,,"""Hybrid tilt rotor VTOL""","Multirotor, QuadPlane, Tiltrotor, Fixed Wing, etc.",,,,,,,,,,
3,Configuration summary *,,2 VTOL rotors + 2 Tilt Rotors +1 Pusher + 1 Wing,"e.g. ""6 VTOL rotors + 1 pusher + wing"", ""Quadrotor"", ""Tandem tiltrotor""",,,,,,,CG Unload,0.27389,0,0.054286
4,Autopilot system,,ArduPilot,"PX4, ArduPilot, custom, none",,,,,,,Motor 1,-0.256298,1.183447,0.098955
5,Data source,,CAD / DATCOM Calculator,"CAD, spec sheet, flight test, manufacturer datasheet, etc.",,,,,,,Motor 2,-0.256298,-1.183447,0.098955
2. Geometry,,,,,,,,,,,Motor 3,0.850743,1.183447,0.025424
6,Overall length *,m,2.439724,Nose to tail,,,,,,,Motor 4,0.850743,-1.183447,0.025424
7,Overall width *,m,2.474094,end of motor-to-motor,,,,,,,Motor 5,N/A,N/A,N/A
8,Overall height,m,0.612215,From stand to tip of T-tail,,,,,,,Battery,0.2176145,0,0.023424
2a. Wing (if applicable),,,,,,,,,,,Stand,0.274744,0,-0.234789
9,Wingspan,m,2.2,,,,,,,,Payload 1 CM,0.274744,0,-0.15731
10,Wing area,m²,1.1,Total planform area,,,,,,COM,Payload 2 CM,0.274744,0,-0.123691
11,Mean aerodynamic chord (MAC),m,0.5,area / span if not known,,,,,,,Payload 3 CM,0.274744,0,-0.123334
12,Wing airfoil,,S1223,"e.g. NACA 2412, Clark Y, custom",,,,,,,,,,
13,Wing incidence angle,deg,5,Wing chord relative to fuselage datum,,,,,,,,,,
2b. Tail (if applicable),,,,,,,,,,,,,,
14,Tail type,,T-tail NACA 0009,"Conventional, T-tail, V-tail, none",,,,,,,,,,
15,Horizontal tail area,m²,0.15795,,,,,,,,,,,
16,Horizontal tail arm,m,1.8288,Wing AC to tail AC distance,,,,,,,,,,
17,Vertical tail area,m²,0.07395,,,,,,,,,,,
18,Vertical tail arm,m,1.8288,CG to vertical tail AC,,,,,,,,,,
2c. Reference points NO PAYLOAD,,,,,,,,,,,,,,
19,Aerodynamic reference point (X),m,0.27389,CG when there is no payload.,,,,,,,,,,
20,Aerodynamic reference point (Y),m,0,,,,,,,,,,,
21,Aerodynamic reference point (Z),m,0.054286,,,,,,,,,,,
22,Eye point (X),m,N/A,Pilot/camera view position relative to CG,,,,,,,,,,
23,Eye point (Y),m,N/A,,,,,,,,,,,
24,Eye point (Z),m,N/A,,,,,,,,,,,
25,Visual reference point (X),m,0,Origin of 3D model coordinate system,,,,,,,,,,
26,Visual reference point (Y),m,0,,,,,,,,,,,
27,Visual reference point (Z),m,0,,,,,,,,,,,
3. Mass properties,,,,,,,,,,,,,,
28,"Empty weight (no battery, no payload) *",kg,15.143275,Structural weight only,,,,,,,,,,
29,Battery weight *,kg,6.579943,Per battery,,,,,,,,,,
30,Number of batteries,,1,,,,,,,,,,,
31,Battery capacity,Wh,1077,Per battery,,,,,,,,,,
32,Battery location (X),m,-0.0562755,Relative to CG,,,,,,,,,,
33,Battery location (Y),m,0,,,,,,,,,,,
34,Battery location (Z),m,-0.030862,,,,,,,,,,,
35,MTOW *,kg,71.618418,Typical Operating Weight + Max Payload,,,,,,,,,,
36.00,Typical operating weight,kg,21.723218,Normal flight config (Current Model weight),,,,,,,,,,
37.00,Max payload,kg,49.8952,110 lbs,,,,,,,,,,
38.00,CG location (X) *,m,0.27389,"Relative to the origin (0, 0, 0) (UNLOADED)",,,,,,,,,,
