wall_clock,sim_t,alt_ft,roll_deg,pitch_deg,yaw_deg,u_fps,v_fps,w_fps,p_rads,q_rads,r_rads,pwm1,pwm2,pwm3,pwm4,ail,ele,rud,thrFR,thrFL,thrAR,thrAL,flapsR,flapsL,armed,ap_pwm1,ap_pwm2,ap_pwm3,ap_pwm4,ap_pwm8,ap_pwm9,ap_has_armed,motor_active
1780865443.089,0.0076,3000.0,0.00,-0.00,0.00,0.00,0.00,0.18,0.0000,-0.0022,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.109,0.0251,3000.0,-0.00,-0.00,-0.00,0.02,0.00,0.54,0.0000,-0.0063,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.129,0.0454,3000.0,0.00,-0.01,0.00,0.03,-0.00,0.88,0.0000,-0.0090,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.150,0.0657,3000.0,0.00,-0.03,0.00,0.05,-0.00,1.16,0.0000,-0.0104,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.171,0.0858,2999.9,0.00,-0.04,0.00,0.07,-0.00,1.39,0.0000,-0.0108,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.191,0.1101,2999.9,0.00,-0.05,0.00,0.09,-0.00,1.61,-0.0000,-0.0105,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.212,0.1303,2999.9,0.00,-0.06,0.00,0.10,0.00,1.75,-0.0000,-0.0099,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.232,0.1501,2999.8,0.00,-0.07,0.00,0.12,0.00,1.87,-0.0000,-0.0091,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.252,0.1706,2999.8,0.00,-0.09,0.00,0.13,0.00,1.96,-0.0000,-0.0082,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.272,0.1906,2999.7,0.00,-0.09,0.00,0.14,-0.00,2.04,0.0000,-0.0074,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.293,0.2104,2999.7,0.00,-0.10,0.00,0.15,-0.00,2.10,0.0000,-0.0066,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.313,0.2306,2999.7,0.00,-0.11,0.00,0.17,-0.00,2.14,0.0000,-0.0059,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.333,0.2505,2999.6,0.00,-0.12,0.00,0.18,-0.00,2.17,0.0000,-0.0053,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.353,0.2703,2999.6,0.00,-0.12,0.00,0.18,-0.00,2.20,0.0000,-0.0048,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.373,0.2905,2999.5,0.00,-0.13,0.00,0.19,-0.00,2.21,0.0000,-0.0045,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.393,0.3103,2999.5,0.00,-0.13,0.00,0.20,-0.00,2.22,0.0000,-0.0043,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.414,0.3306,2999.4,0.00,-0.14,0.00,0.21,-0.00,2.22,0.0000,-0.0042,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.434,0.3504,2999.4,0.00,-0.14,0.00,0.22,-0.00,2.21,0.0000,-0.0043,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
1780865443.454,0.3702,2999.4,0.00,-0.15,0.00,0.23,-0.00,2.20,0.0000,-0.0045,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1250,1250,0,0
