wall_clock,sim_t,alt_ft,roll_deg,pitch_deg,yaw_deg,u_fps,v_fps,w_fps,p_rads,q_rads,r_rads,pwm1,pwm2,pwm3,pwm4,ail,ele,rud,thrFR,thrFL,thrAR,thrAL,flapsR,flapsL,armed,ap_pwm1,ap_pwm2,ap_pwm3,ap_pwm4,ap_pwm8,ap_pwm9,ap_has_armed,motor_active
1778690878.135,0.0056,3000.0,-0.00,-0.00,-0.00,0.01,-0.00,0.00,-0.0000,-0.0007,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1052,1052,0,0
1778690878.155,0.0254,3000.0,-0.00,-0.00,0.00,0.03,-0.00,0.04,-0.0000,-0.0029,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1052,1052,0,0
1778690878.175,0.0304,3000.0,-0.00,-0.00,0.00,0.04,-0.00,0.04,-0.0000,-0.0034,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1052,1052,0,0
1778690878.196,0.0654,3000.0,-0.00,-0.01,0.00,0.08,0.00,0.08,0.0000,-0.0074,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1052,1052,0,0
1778690878.216,0.0852,3000.0,0.00,-0.02,0.00,0.10,0.00,0.10,-0.0000,-0.0097,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1052,1052,0,0
1778690878.236,0.0950,3000.0,0.00,-0.03,0.00,0.10,0.00,0.11,-0.0000,-0.0109,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1052,1052,0,0
1778690878.257,0.1253,3000.0,-0.00,-0.05,0.00,0.13,0.00,0.12,0.0000,-0.0146,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1052,1052,0,0
1778690878.277,0.1473,3000.0,0.00,-0.07,0.00,0.14,-0.00,0.13,0.0000,-0.0173,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1052,1052,0,0
1778690878.297,0.1653,3000.0,0.00,-0.09,0.00,0.15,-0.00,0.14,0.0000,-0.0195,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1052,1052,0,0
1778690878.317,0.1852,3000.0,0.00,-0.11,0.00,0.16,-0.00,0.15,0.0000,-0.0220,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1052,1052,0,0
