wall_clock,sim_t,alt_ft,roll_deg,pitch_deg,yaw_deg,u_fps,v_fps,w_fps,p_rads,q_rads,r_rads,pwm1,pwm2,pwm3,pwm4,ail,ele,rud,thrFR,thrFL,thrAR,thrAL,flapsR,flapsL,armed,ap_pwm1,ap_pwm2,ap_pwm3,ap_pwm4,ap_pwm8,ap_pwm9,ap_has_armed,motor_active
1779056716.827,0.0084,3000.0,-0.00,-0.00,0.00,0.00,0.00,0.18,-0.0000,-0.0030,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056716.847,0.0303,3000.0,-0.00,-0.01,0.00,0.02,0.00,0.67,-0.0000,-0.0094,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056716.868,0.0508,3000.0,-0.00,-0.02,0.00,0.03,0.00,1.13,-0.0000,-0.0158,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056716.888,0.0708,2999.9,-0.00,-0.05,0.00,0.04,0.00,1.56,-0.0000,-0.0226,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056716.908,0.0904,2999.9,-0.00,-0.07,0.00,0.05,0.00,1.99,-0.0000,-0.0295,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056716.929,0.1104,2999.9,-0.00,-0.11,0.00,0.06,0.00,2.43,-0.0000,-0.0368,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056716.949,0.1308,2999.8,-0.00,-0.16,0.00,0.07,0.00,2.87,-0.0000,-0.0445,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056716.970,0.1502,2999.8,-0.00,-0.21,0.00,0.08,0.00,3.28,-0.0000,-0.0520,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056716.990,0.1704,2999.7,-0.00,-0.28,0.00,0.09,0.00,3.71,-0.0000,-0.0597,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.010,0.1900,2999.6,-0.00,-0.35,0.00,0.10,0.00,4.12,-0.0001,-0.0673,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.031,0.2101,2999.5,-0.00,-0.43,0.00,0.12,0.00,4.53,-0.0001,-0.0750,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.051,0.2304,2999.4,-0.00,-0.52,0.00,0.13,0.00,4.94,-0.0001,-0.0828,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.072,0.2506,2999.3,-0.00,-0.62,0.00,0.15,0.00,5.35,-0.0001,-0.0903,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.092,0.2707,2999.2,-0.00,-0.73,0.00,0.17,0.00,5.74,-0.0001,-0.0975,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.112,0.2903,2999.1,-0.00,-0.84,0.00,0.20,0.00,6.12,-0.0001,-0.1043,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.132,0.3153,2998.9,-0.00,-1.00,0.00,0.23,0.00,6.59,-0.0001,-0.1125,0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.153,0.3355,2998.8,-0.00,-1.13,0.00,0.26,0.00,6.96,-0.0001,-0.1188,0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.173,0.3552,2998.7,-0.00,-1.27,0.00,0.29,0.00,7.30,-0.0001,-0.1247,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.193,0.3753,2998.5,-0.00,-1.42,0.00,0.33,0.00,7.65,-0.0001,-0.1302,0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.214,0.3956,2998.3,-0.00,-1.57,0.00,0.37,0.00,7.99,-0.0001,-0.1353,-0.0000,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.234,0.4150,2998.2,-0.00,-1.73,0.00,0.41,0.00,8.30,-0.0001,-0.1394,-0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.254,0.4353,2998.0,-0.00,-1.89,0.00,0.45,0.00,8.62,-0.0000,-0.1430,-0.0001,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.275,0.4556,2997.8,-0.00,-2.06,0.00,0.50,-0.00,8.93,0.0000,-0.1459,-0.0002,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.295,0.4756,2997.7,-0.00,-2.23,0.00,0.55,-0.00,9.23,0.0000,-0.1477,-0.0002,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.316,0.4952,2997.5,-0.00,-2.39,-0.00,0.61,-0.00,9.50,0.0000,-0.1486,-0.0002,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.336,0.5153,2997.3,-0.00,-2.56,-0.00,0.66,-0.00,9.78,-0.0000,-0.1487,-0.0002,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.356,0.5354,2997.1,-0.00,-2.74,-0.00,0.72,-0.00,10.05,0.0000,-0.1478,-0.0002,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.377,0.5558,2996.9,-0.00,-2.91,-0.00,0.78,-0.00,10.31,0.0001,-0.1461,-0.0003,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.397,0.5751,2996.7,-0.00,-3.07,-0.00,0.84,-0.00,10.55,0.0002,-0.1437,-0.0004,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.418,0.6001,2996.4,-0.00,-3.27,-0.00,0.92,-0.00,10.85,0.0004,-0.1392,-0.0006,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.438,0.6202,2996.2,-0.00,-3.43,-0.00,0.99,-0.00,11.08,0.0005,-0.1346,-0.0007,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.458,0.6404,2995.9,0.00,-3.58,-0.00,1.06,-0.00,11.30,0.0005,-0.1291,-0.0008,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
1779056717.478,0.6600,2995.7,0.00,-3.72,-0.00,1.12,-0.00,11.51,0.0006,-0.1232,-0.0009,1000,1000,1000,1000,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1000,1000,1000,1000,1142,1142,0,0
