trial,rat_p,rat_d,rat_i,ang_p,mot_spin,score,near5_pct,near10_pct,streak_secs,time_to_crash,max_q,max_p,motor_ok,early_min_motor,reason
0,0.065,0.005,0.001,3.82,,4.0803900304414,0.0334855403348554,0.0517503805175038,0.5,1.145,16.9351,6.0136,False,0.15,ok
1,0.05,0.015,0.001,3.0,,3.545727625570776,0.0289193302891933,0.0410958904109589,0.48,1.0745999999999998,12.128,6.4957,False,0.15,ok
2,0.015355286838886862,0.03335042352388027,0.007259248719561361,3.595304694689628,,2.2059813214013713,0.015232292460015232,0.02284843869002285,0.36,1.1803000000000003,18.2448,8.3017,False,0.15,ok
3,0.00797854234707418,0.0012389490049257866,0.01044004075054466,3.6039025411012306,,4.266662013729977,0.03279938977879481,0.041189931350114416,0.78,1.2195999999999998,10.7244,6.7989,False,0.15,ok
4,0.005318033256270142,0.03579758832747054,0.009528587217040238,2.2431868873739664,,2.724925,0.019817073170731708,0.03429878048780488,0.36,1.2397,23.7189,8.6867,False,0.15,ok
5,0.008661333735273127,0.003071951290267427,0.004141536110538595,3.011807565247405,,3.862455916030534,0.02900763358778626,0.03435114503816794,0.76,1.1799000000000004,10.5689,6.071,False,0.15,ok
6,0.03126143958203108,0.0016729290906109008,0.002205914967807102,2.7822664515279207,,4.5519476163234165,0.03508771929824561,0.04958047292143402,0.78,1.1403000000000003,11.6933,4.737,False,0.15,ok
7,0.05254210669345883,0.0020887640189051556,0.004025192252635065,3.5734509910171486,,5.318023780487804,0.041158536585365856,0.057926829268292686,0.92,1.2399,15.536,8.316,False,0.15,ok
8,0.030860579740535368,0.0018758144459818408,0.0011926324174062872,4.821099380386666,,4.134276829268292,0.02972560975609756,0.04496951219512195,0.78,1.1254,11.7452,4.6488,False,0.15,ok
9,0.05632733481673016,0.0030761643332313385,0.0013027807103090279,3.894815592792549,,4.924702002288329,0.038901601830663615,0.07322654462242563,0.54,1.2643000000000004,14.3168,5.6737,False,0.15,ok
10,0.09271770137043259,0.009667877588318783,0.004066857741116593,1.5628665646518687,,3.9827257633587787,0.02748091603053435,0.06870229007633588,0.42,1.3192999999999997,17.0371,8.3386,False,0.15,ok
